Tag Number,Tag ID,Public ID,Claim Token,Overlay QR URL,Base QR URL,Status
11,RL-011,AUS0011,f499d4341018d066f00a67aa488ea37002bc1ab9a29f12710e06933068689d2c,https://app.ranchlink.com/start?token=f499d4341018d066f00a67aa488ea37002bc1ab9a29f12710e06933068689d2c,https://app.ranchlink.com/a?id=AUS0011,printed
12,RL-012,AUS0012,af0339e0b9c45711f12961ea9dfae08b4556b613b5627407b5078cfdee9bb459,https://app.ranchlink.com/start?token=af0339e0b9c45711f12961ea9dfae08b4556b613b5627407b5078cfdee9bb459,https://app.ranchlink.com/a?id=AUS0012,printed
13,RL-013,AUS0013,ff463d53777055171e44998508f0a5d476382c36f1c9a6cee2d2f963db2db938,https://app.ranchlink.com/start?token=ff463d53777055171e44998508f0a5d476382c36f1c9a6cee2d2f963db2db938,https://app.ranchlink.com/a?id=AUS0013,printed
14,RL-014,AUS0014,a1a904fe80afe0c271c4f823015dbe926e20beb6d3e1a611849c7ea0f6373ee9,https://app.ranchlink.com/start?token=a1a904fe80afe0c271c4f823015dbe926e20beb6d3e1a611849c7ea0f6373ee9,https://app.ranchlink.com/a?id=AUS0014,printed
15,RL-015,AUS0015,27885faab300dbebb2b07aa6f4970321abcaf304e57a6a8b5414b025362377a9,https://app.ranchlink.com/start?token=27885faab300dbebb2b07aa6f4970321abcaf304e57a6a8b5414b025362377a9,https://app.ranchlink.com/a?id=AUS0015,printed
16,RL-016,AUS0016,858cc343143579609dbbe5c511a11bd544eec483c59d166c12a898bea8e51ca7,https://app.ranchlink.com/start?token=858cc343143579609dbbe5c511a11bd544eec483c59d166c12a898bea8e51ca7,https://app.ranchlink.com/a?id=AUS0016,printed
17,RL-017,AUS0017,e446cae058d55249a552bbe00e58a03c09ed3ffc0d38a17387b48f1a95d80cc8,https://app.ranchlink.com/start?token=e446cae058d55249a552bbe00e58a03c09ed3ffc0d38a17387b48f1a95d80cc8,https://app.ranchlink.com/a?id=AUS0017,printed
18,RL-018,AUS0018,c6a801842923dccd3a1ddcc4eea19ebf47d61fb778ed99dd3bbdb0de9070218c,https://app.ranchlink.com/start?token=c6a801842923dccd3a1ddcc4eea19ebf47d61fb778ed99dd3bbdb0de9070218c,https://app.ranchlink.com/a?id=AUS0018,printed
19,RL-019,AUS0019,4e6119a4266873a843faf6d3c1f3152cb8d795a6d99f15958c3d105e7f44d63b,https://app.ranchlink.com/start?token=4e6119a4266873a843faf6d3c1f3152cb8d795a6d99f15958c3d105e7f44d63b,https://app.ranchlink.com/a?id=AUS0019,printed
20,RL-020,AUS0020,a98060d3eb00398fd9150a6fd4aafc6fc5398ab3a5bbef37a006c381d07855cc,https://app.ranchlink.com/start?token=a98060d3eb00398fd9150a6fd4aafc6fc5398ab3a5bbef37a006c381d07855cc,https://app.ranchlink.com/a?id=AUS0020,printed
21,RL-021,AUS0021,5f6c5c0996a2e6d3e5aec1be1d22f57ecf1ac0dbe7a24cf1d4065b4a27c75556,https://app.ranchlink.com/start?token=5f6c5c0996a2e6d3e5aec1be1d22f57ecf1ac0dbe7a24cf1d4065b4a27c75556,https://app.ranchlink.com/a?id=AUS0021,printed
22,RL-022,AUS0022,22cf5963ba559643afc10ae9690db5b14c71ea14db23c289af910803502e4a96,https://app.ranchlink.com/start?token=22cf5963ba559643afc10ae9690db5b14c71ea14db23c289af910803502e4a96,https://app.ranchlink.com/a?id=AUS0022,printed
23,RL-023,AUS0023,9b3ee4ba4219c9c389f9bc892250e389bc6bb9d90dc49b49c39996e331198901,https://app.ranchlink.com/start?token=9b3ee4ba4219c9c389f9bc892250e389bc6bb9d90dc49b49c39996e331198901,https://app.ranchlink.com/a?id=AUS0023,printed
24,RL-024,AUS0024,4ef3a00a0dd51d14f6d13784cfb3887ce35b688a06216239144c91eeb351af0c,https://app.ranchlink.com/start?token=4ef3a00a0dd51d14f6d13784cfb3887ce35b688a06216239144c91eeb351af0c,https://app.ranchlink.com/a?id=AUS0024,printed
25,RL-025,AUS0025,052bc4f88aad65b30ee44a0e73e73f5823ec76b87ade2ba8e1b46e703cc70c78,https://app.ranchlink.com/start?token=052bc4f88aad65b30ee44a0e73e73f5823ec76b87ade2ba8e1b46e703cc70c78,https://app.ranchlink.com/a?id=AUS0025,printed
26,RL-026,AUS0026,a77ec7bf1b73ea96e81ccc3c3dc6242aca2040a32943428c7869c0ecc059e3ca,https://app.ranchlink.com/start?token=a77ec7bf1b73ea96e81ccc3c3dc6242aca2040a32943428c7869c0ecc059e3ca,https://app.ranchlink.com/a?id=AUS0026,printed
27,RL-027,AUS0027,edb8b9a98911128b42733ea844d0555d89b900d147573abfa097b7f8511af421,https://app.ranchlink.com/start?token=edb8b9a98911128b42733ea844d0555d89b900d147573abfa097b7f8511af421,https://app.ranchlink.com/a?id=AUS0027,printed
28,RL-028,AUS0028,5e8c5d42dc9e1599f26717fc5a8802fbda682101c003643a0a920a63ec534aa6,https://app.ranchlink.com/start?token=5e8c5d42dc9e1599f26717fc5a8802fbda682101c003643a0a920a63ec534aa6,https://app.ranchlink.com/a?id=AUS0028,printed
29,RL-029,AUS0029,4884c528de07c614bae2560f86f87302f9853c2d76c2edd3facfc0e5e819af96,https://app.ranchlink.com/start?token=4884c528de07c614bae2560f86f87302f9853c2d76c2edd3facfc0e5e819af96,https://app.ranchlink.com/a?id=AUS0029,printed
30,RL-030,AUS0030,1d16d6037a70d55dee080ea5f800e135855c50b615d66ea08becf5016cfcad72,https://app.ranchlink.com/start?token=1d16d6037a70d55dee080ea5f800e135855c50b615d66ea08becf5016cfcad72,https://app.ranchlink.com/a?id=AUS0030,printed
31,RL-031,AUS0031,e39e592144d4a1bd5a3e66b7a427a245c7be3f81a4164591743c61e864d696e8,https://app.ranchlink.com/start?token=e39e592144d4a1bd5a3e66b7a427a245c7be3f81a4164591743c61e864d696e8,https://app.ranchlink.com/a?id=AUS0031,printed
32,RL-032,AUS0032,36ae4ec3620b0a617d671fb361969ba0fccf6e54c4a570af6846c5c1e42d5f94,https://app.ranchlink.com/start?token=36ae4ec3620b0a617d671fb361969ba0fccf6e54c4a570af6846c5c1e42d5f94,https://app.ranchlink.com/a?id=AUS0032,printed
33,RL-033,AUS0033,1a88c4a1382b08fa63714a1ee3f44ceed9b13eee1e82bb05b2c66f2694d11b7b,https://app.ranchlink.com/start?token=1a88c4a1382b08fa63714a1ee3f44ceed9b13eee1e82bb05b2c66f2694d11b7b,https://app.ranchlink.com/a?id=AUS0033,printed
34,RL-034,AUS0034,ce43c22aa0907aa3a8291dfc57f5c9485542d64a7ae5a80f6ff8e93fb7a82cba,https://app.ranchlink.com/start?token=ce43c22aa0907aa3a8291dfc57f5c9485542d64a7ae5a80f6ff8e93fb7a82cba,https://app.ranchlink.com/a?id=AUS0034,printed
35,RL-035,AUS0035,d75920ae18e2897f67d833bc89fc599196d2d79f05c3ab423354da4182f00f0a,https://app.ranchlink.com/start?token=d75920ae18e2897f67d833bc89fc599196d2d79f05c3ab423354da4182f00f0a,https://app.ranchlink.com/a?id=AUS0035,printed
36,RL-036,AUS0036,515aa3e2cd37b9950ed14f23a72b14de5a6e536262bb14e28c4b4c7c04ba37a4,https://app.ranchlink.com/start?token=515aa3e2cd37b9950ed14f23a72b14de5a6e536262bb14e28c4b4c7c04ba37a4,https://app.ranchlink.com/a?id=AUS0036,printed
37,RL-037,AUS0037,104458c3a9ff24b35b2681404a776d6098901b505f09be0492646c898ff291af,https://app.ranchlink.com/start?token=104458c3a9ff24b35b2681404a776d6098901b505f09be0492646c898ff291af,https://app.ranchlink.com/a?id=AUS0037,printed
38,RL-038,AUS0038,b20ce8394cd5f8499285fd4f29f20a67c5c1b7c41094c9deb5fd3049bf183759,https://app.ranchlink.com/start?token=b20ce8394cd5f8499285fd4f29f20a67c5c1b7c41094c9deb5fd3049bf183759,https://app.ranchlink.com/a?id=AUS0038,printed
39,RL-039,AUS0039,7b654952c4b9f3a5d20dc9382c49eee127157cf0d98f1f0529007570f7c78932,https://app.ranchlink.com/start?token=7b654952c4b9f3a5d20dc9382c49eee127157cf0d98f1f0529007570f7c78932,https://app.ranchlink.com/a?id=AUS0039,printed
40,RL-040,AUS0040,ef6ba61b47338224240435ccb1df0d6939d30ea60693635b8135dfef90bc04d4,https://app.ranchlink.com/start?token=ef6ba61b47338224240435ccb1df0d6939d30ea60693635b8135dfef90bc04d4,https://app.ranchlink.com/a?id=AUS0040,printed
41,RL-041,AUS0041,48a76804bcec9df704cab60c6f9e37ff11f50825374cf72fed73158cc59bb631,https://app.ranchlink.com/start?token=48a76804bcec9df704cab60c6f9e37ff11f50825374cf72fed73158cc59bb631,https://app.ranchlink.com/a?id=AUS0041,printed
42,RL-042,AUS0042,ca81540f729955ea575894fda801d46ae7afdad1e9379c23fd989a2f1999ffd0,https://app.ranchlink.com/start?token=ca81540f729955ea575894fda801d46ae7afdad1e9379c23fd989a2f1999ffd0,https://app.ranchlink.com/a?id=AUS0042,printed
43,RL-043,AUS0043,bffab98fac1f4cf06c56c3bba65c5ab207ba054c148d6cc1bce86da421cc55b0,https://app.ranchlink.com/start?token=bffab98fac1f4cf06c56c3bba65c5ab207ba054c148d6cc1bce86da421cc55b0,https://app.ranchlink.com/a?id=AUS0043,printed
44,RL-044,AUS0044,5759be9345436585feb638f717120e1322cf9103f67d49465917276b667d06d0,https://app.ranchlink.com/start?token=5759be9345436585feb638f717120e1322cf9103f67d49465917276b667d06d0,https://app.ranchlink.com/a?id=AUS0044,printed
45,RL-045,AUS0045,dcc16375ae96ed8bee6995cf260282239c65848cd54d7f12e9e09bfa6099eca0,https://app.ranchlink.com/start?token=dcc16375ae96ed8bee6995cf260282239c65848cd54d7f12e9e09bfa6099eca0,https://app.ranchlink.com/a?id=AUS0045,printed
46,RL-046,AUS0046,395d234186dd2ca3aaf5bde39afb212827d2a5c23087e118888cc9d1de51d253,https://app.ranchlink.com/start?token=395d234186dd2ca3aaf5bde39afb212827d2a5c23087e118888cc9d1de51d253,https://app.ranchlink.com/a?id=AUS0046,printed
47,RL-047,AUS0047,345ab931205d67aa5b3424ec8a22bc0911bb7c9ad056b3fce57029a5c455766c,https://app.ranchlink.com/start?token=345ab931205d67aa5b3424ec8a22bc0911bb7c9ad056b3fce57029a5c455766c,https://app.ranchlink.com/a?id=AUS0047,printed
48,RL-048,AUS0048,c2b316b0f3c035d88063e983f254b50956635c460cea5bd5ea4b1851b5d06c9d,https://app.ranchlink.com/start?token=c2b316b0f3c035d88063e983f254b50956635c460cea5bd5ea4b1851b5d06c9d,https://app.ranchlink.com/a?id=AUS0048,printed
49,RL-049,AUS0049,18d9b00531437dc98e5f96f2bbba9ca22fe2a11a7b6aa05534bb3ed077f566d0,https://app.ranchlink.com/start?token=18d9b00531437dc98e5f96f2bbba9ca22fe2a11a7b6aa05534bb3ed077f566d0,https://app.ranchlink.com/a?id=AUS0049,printed
50,RL-050,AUS0050,b3ccb7c898eafb75c5e3cac9c0ed901ed0c3fc65879ee490cc57efdc64361338,https://app.ranchlink.com/start?token=b3ccb7c898eafb75c5e3cac9c0ed901ed0c3fc65879ee490cc57efdc64361338,https://app.ranchlink.com/a?id=AUS0050,printed
51,RL-051,AUS0051,779497108b82453a65f6c77255058fbd5d729ad1fae41fe20decd0f852a5db93,https://app.ranchlink.com/start?token=779497108b82453a65f6c77255058fbd5d729ad1fae41fe20decd0f852a5db93,https://app.ranchlink.com/a?id=AUS0051,printed
52,RL-052,AUS0052,ef0870b95f08fe5ac46018ca87c91b6cc33db84237b4ec88daa3456ef69a38cc,https://app.ranchlink.com/start?token=ef0870b95f08fe5ac46018ca87c91b6cc33db84237b4ec88daa3456ef69a38cc,https://app.ranchlink.com/a?id=AUS0052,printed
53,RL-053,AUS0053,89e296dabe516a5ba5565449e379f207680a9160cb048b16568a62ecd282da1d,https://app.ranchlink.com/start?token=89e296dabe516a5ba5565449e379f207680a9160cb048b16568a62ecd282da1d,https://app.ranchlink.com/a?id=AUS0053,printed
54,RL-054,AUS0054,5a54650c6d6322cf9fea63c6f261de2a5f77f231360b9c1a23431c725b1f3273,https://app.ranchlink.com/start?token=5a54650c6d6322cf9fea63c6f261de2a5f77f231360b9c1a23431c725b1f3273,https://app.ranchlink.com/a?id=AUS0054,printed
55,RL-055,AUS0055,41d5fb211dfd313f289b483c4f1349933112523ce778e997d21f304fa5e5d990,https://app.ranchlink.com/start?token=41d5fb211dfd313f289b483c4f1349933112523ce778e997d21f304fa5e5d990,https://app.ranchlink.com/a?id=AUS0055,printed
56,RL-056,AUS0056,65c355013d4725b71d33a1321f8f77068bbce070fd5170e68f296b9be159f90d,https://app.ranchlink.com/start?token=65c355013d4725b71d33a1321f8f77068bbce070fd5170e68f296b9be159f90d,https://app.ranchlink.com/a?id=AUS0056,printed
57,RL-057,AUS0057,507b2f41acc92ff2c6d8e5150bdce3d3a1a405ac37a42a352b8901031ed9f157,https://app.ranchlink.com/start?token=507b2f41acc92ff2c6d8e5150bdce3d3a1a405ac37a42a352b8901031ed9f157,https://app.ranchlink.com/a?id=AUS0057,printed
